features:abstractness
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
bert_vulic	0,1715410456264278	0,17034025762194294	0,009539471975751557	-	0,05308707723379158	0,0723805529832161	0,025087530252684065	0,1595969531160637	0,15856025382270655	0,19737792079360006	0,15344304606608594	0,14125824864050307	0,1525911629682113	0,14113002500965544	0,13942562263170888	0,050066535577811155
mbert_context_last_layer	0,1359044851680008	0,10546291463071178	0,015627562761333924	0,053087075039517484	-	0,03325038135129588	0,029760133456278037	0,17237707340538289	0,1705707822524305	0,23312043441406327	0,1624953987568416	0,12905066394028109	0,162347572735571	0,13057945806598026	0,13616778485312953	0,004819778324538171
mbert_standalone	0,03620202666697969	0,006841426179065024	0,07880355692690477	0,07238083727504996	0,033250362037462344	-	0,061066413127758956	0,2050297373141433	0,2040586487461451	0,16003026132188558	0,15606521661477346	0,07810012231275132	0,1411557321595298	0,08602734540039525	0,08644958374551936	0,016744952951056713
mbert_vulic	0,18610465900600237	0,12715856946842496	0,0024811922958588584	0,02508757022884367	0,029760494726178366	0,06106637996235054	-	0,21503380321061516	0,2126713216006051	0,2953165441831054	0,2033536998384503	0,17759964808305673	0,20247781224846562	0,1758244612649872	0,17319209380428768	0,023888176589812904
xlmr_context_last_layer	0,0017318363876405174	0,04517506973097485	0,23847979433467625	0,15959689226527396	0,1723771395955539	0,20502942703609262	0,2150333902389474	-	0,004165504738195436	0,0539509706254685	0,0031522483356068998	0,046795244186946805	0,0021139626745214635	0,007234684857861384	0,022793976965855167	0,1706776091292258
xlmr_standalone	0,0016003071172933092	0,0445182352639647	0,23803386194764264	0,1585607462106623	0,17057065280949835	0,2040582318341625	0,2126708858887939	0,004165531509262355	-	0,05154750504353112	0,00408212914131123	0,046466410160385885	0,0029080350688576173	0,007469458420453878	0,023181294977436817	0,1699154700267893
xlmr_vulic	0,01469244069926079	0,08528191068468405	0,25636544771053205	0,1973776069835812	0,23312036090264554	0,16003030369227367	0,2953168235856235	0,053950971065072184	0,05154768132892651	-	0,06001324794626606	0,10007434676568194	0,05760739519363678	0,05916323480807184	0,07665547978834242	0,18532088722060835
clip_context_avg	0,0015390298151081172	0,0405040702917463	0,22617816950352032	0,1534431222718553	0,16249556660869757	0,15606540126082258	0,20335402675995684	0,0031522496439747583	0,004082196463183196	0,06001365095902922	-	0,041752403093443524	0,003982578212937904	0,005823688975481245	0,027081038255184486	0,15985528927324055
clip_standalone	0,004483219275466466	0,019139875988716915	0,18053527872534314	0,14125821689451268	0,12905078688906824	0,07810040326399093	0,17759903286847356	0,04679521169346845	0,04646648748397608	0,10007372089710154	0,04175236449746711	-	0,04171937694577099	0,008564033545358285	0,002403845283988515	0,13925242200553456
mclip_context_avg	0,002014244575590185	0,04126063616738096	0,22324823782967518	0,1525910919745581	0,16234762616636278	0,1411560138675103	0,2024774560243704	0,002113816686454051	0,0029081289273190647	0,05760705604990579	0,0039825496268436344	0,04171939925019419	-	0,00846969845326384	0,03007990577844999	0,1541343489687077
